Issue_ID,Scenario,Prompt ID,Root Cause Node (LLM Resposne),Root Cause Node (Ground Truht),Result
ISSUE 1,LowTraffic_Train,P-2,petInfo_AWS::DynamoDB::Table,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 2,LowTraffic_Train,P-1,petInfo_AWS::DynamoDB::Table,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 2,LowTraffic_Train,P-2,petInfo_AWS::DynamoDB::Table,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 3,LowTraffic_Train,P-1,Servi-searc.us-west-2.elb.amazonaws.com_remote,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 3,LowTraffic_Train,P-2,,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 4,LowTraffic_Train,P-1,AWS::StepFunctions::StateMachine service itself,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 4,LowTraffic_Train,P-2,,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 5,LowTraffic_Train,P-1,Servi-searc.us-west-2.elb.amazonaws.com_remote,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 5,LowTraffic_Train,P-2,petInfo_AWS::DynamoDB::Table,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 6,LowTraffic_Train,P-1,,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 6,LowTraffic_Train,P-2,,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 7,LowTraffic_Train,P-1,Servi-searc.us-west-2.elb.amazonaws.com_remote,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 7,LowTraffic_Train,P-2,,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 0,Temp1Traffic_Test,P-1,Servi-searc.us-west-2.elb.amazonaws.com_remote,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 0,Temp1Traffic_Test,P-2,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 1,Temp1Traffic_Test,P-1,Servi-searc.us-west-2.elb.amazonaws.com_remote,petInfo_AWS::DynamoDB::Table,Incorrect
ISSUE 1,Temp1Traffic_Test,P-2,petInfo_AWS::DynamoDB::Table,petInfo_AWS::DynamoDB::Table,Correct
ISSUE 2,Temp1Traffic_Test,P-1,petInfo_AWS::DynamoDB::Table,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 2,Temp1Traffic_Test,P-2,,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 3,Temp1Traffic_Test,P-1,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 3,Temp1Traffic_Test,P-2,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 4,Temp1Traffic_Test,P-1,petInfo_AWS::DynamoDB::Table,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 4,Temp1Traffic_Test,P-2,petInfo_AWS::DynamoDB::Table,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 5,Temp1Traffic_Test,P-1,Servi-searc.us-west-2.elb.amazonaws.com_remote,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 5,Temp1Traffic_Test,P-2,petInfo_AWS::DynamoDB::Table,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 0,Temp1Traffic_Train,P-1,,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 0,Temp1Traffic_Train,P-2,petInfo_AWS::DynamoDB::Table,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 1,Temp1Traffic_Train,P-1,petInfo_AWS::DynamoDB::Table,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 1,Temp1Traffic_Train,P-2,petInfo_AWS::DynamoDB::Table,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 0,Temp2Traffic_Test,P-1,AWS::StepFunctions::StateMachine,petInfo_AWS::DynamoDB::Table,Incorrect
ISSUE 0,Temp2Traffic_Test,P-2,Servi-searc.us-west-2.elb.amazonaws.com_remote,petInfo_AWS::DynamoDB::Table,Incorrect
ISSUE 1,Temp2Traffic_Test,P-1,petInfo_AWS::DynamoDB::Table,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 1,Temp2Traffic_Test,P-2,petInfo_AWS::DynamoDB::Table,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 2,Temp2Traffic_Test,P-1,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 2,Temp2Traffic_Test,P-2,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 3,Temp2Traffic_Test,P-1,petInfo_AWS::DynamoDB::Table,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 3,Temp2Traffic_Test,P-2,petInfo_AWS::DynamoDB::Table,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 4,Temp2Traffic_Test,P-1,petInfo_AWS::DynamoDB::Table,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 4,Temp2Traffic_Test,P-2,petInfo_AWS::DynamoDB::Table,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 5,Temp2Traffic_Test,P-1,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 5,Temp2Traffic_Test,P-2,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 0,Temp2Traffic_Train,P-1,Servi-searc.us-west-2.elb.amazonaws.com_remote,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 0,Temp2Traffic_Train,P-2,Servi-searc.us-west-2.elb.amazonaws.com_remote,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 1,Temp2Traffic_Train,P-1,Servi-searc.us-west-2.elb.amazonaws.com_remote,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 1,Temp2Traffic_Train,P-2,petInfo_AWS::DynamoDB::Table,PetSearch_AWS::ECS::Fargate,Incorrect
