target_node,root_cause_node,issue_type,severity,affected_column,paths,IssueNumber,DetailedPathDescription,timestamp,textual_representation,structured_textual_summary
Servi-searc.us-west-2.elb.amazonaws.com_remote,PetSite,latency,0.035630486,availability_Average,"['PetSite', 'petlistadoptions_AWS::ECS::Fargate', 'Servi-searc.us-west-2.elb.amazonaws.com_remote']",1_41,"The path of the issue is from PetSite, through petlistadoptions_AWS::ECS::Fargate, to Servi-searc.us-west-2.elb.amazonaws.com_remote.",2023-04-18 21:32,"On 2023-04-18 21:32, a latency issue with severity 0.035630486 was detected. Root Cause Node: PetSite, Target Node: Servi-searc.us-west-2.elb.amazonaws.com_remote, Affected Metric: availability_Average. Path: ['PetSite', 'petlistadoptions_AWS::ECS::Fargate', 'Servi-searc.us-west-2.elb.amazonaws.com_remote']","On 2023-04-18 21:32, a latency issue was detected. Severity: 0.035630486, Root Cause: PetSite."
PetSearch_AWS::ECS::Fargate,AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement,latency,0.052732872,availability_Average,"['petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', 'AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement']",0_4,"The path of the issue is from petlistadoptions_AWS::ECS::Fargate, through PetSearch_AWS::ECS::Fargate, to AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement.",2023-04-18 22:02,"On 2023-04-18 22:02, a latency issue with severity 0.052732872 was detected. Root Cause Node: AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement, Target Node: PetSearch_AWS::ECS::Fargate, Affected Metric: availability_Average. Path: ['petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', 'AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement']","On 2023-04-18 22:02, a latency issue was detected. Severity: 0.052732872, Root Cause: AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement."
lambda_step_priceGreaterThan55_AWS::Lambda,Evidently_AWS::Evidently,latency,0.06827962,latency_Average,"['AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda', 'lambda_step_priceGreaterThan55_AWS::Lambda::Function', 'lambda_step_priceGreaterThan55', 'Evidently_AWS::Evidently']",0_38,"The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_priceGreaterThan55_AWS::Lambda to lambda_step_priceGreaterThan55_AWS::Lambda::Function to lambda_step_priceGreaterThan55, to Evidently_AWS::Evidently.",2023-04-18 22:02,"On 2023-04-18 22:02, a latency issue with severity 0.06827962 was detected. Root Cause Node: Evidently_AWS::Evidently, Target Node: lambda_step_priceGreaterThan55_AWS::Lambda, Affected Metric: latency_Average. Path: ['AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda', 'lambda_step_priceGreaterThan55_AWS::Lambda::Function', 'lambda_step_priceGreaterThan55', 'Evidently_AWS::Evidently']","On 2023-04-18 22:02, a latency issue was detected. Severity: 0.06827962, Root Cause: Evidently_AWS::Evidently."
adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL,payforadoption_AWS::ECS::Container,latency,0.055231557,latency_Average,"['payforadoption_AWS::ECS::Container', 'adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL']",2_19,The path of the issue is from payforadoption_AWS::ECS::Container to adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL.,2023-04-19 5:07,"On 2023-04-19 5:07, a latency issue with severity 0.055231557 was detected. Root Cause Node: payforadoption_AWS::ECS::Container, Target Node: adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL, Affected Metric: latency_Average. Path: ['payforadoption_AWS::ECS::Container', 'adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL']","On 2023-04-19 5:07, a latency issue was detected. Severity: 0.055231557, Root Cause: payforadoption_AWS::ECS::Container."
lambda_step_priceLessThan55_AWS::Lambda,AWS::StepFunctions::StateMachine,latency,0.123899119,latency_Average,"['StepFnStateMachine76D362E8-T67Tg48ke8oK_client', 'AWS::StepFunctions::StateMachine', 'lambda_step_priceLessThan55_AWS::Lambda', 'lambda_step_priceLessThan55_AWS::Lambda::Function']",1_4,"The path of the issue is from StepFnStateMachine76D362E8-T67Tg48ke8oK_client, through AWS::StepFunctions::StateMachine to lambda_step_priceLessThan55_AWS::Lambda, to lambda_step_priceLessThan55_AWS::Lambda::Function.",2023-04-18 21:32,"On 2023-04-18 21:32, a latency issue with severity 0.123899119 was detected. Root Cause Node: AWS::StepFunctions::StateMachine, Target Node: lambda_step_priceLessThan55_AWS::Lambda, Affected Metric: latency_Average. Path: ['StepFnStateMachine76D362E8-T67Tg48ke8oK_client', 'AWS::StepFunctions::StateMachine', 'lambda_step_priceLessThan55_AWS::Lambda', 'lambda_step_priceLessThan55_AWS::Lambda::Function']","On 2023-04-18 21:32, a latency issue was detected. Severity: 0.123899119, Root Cause: AWS::StepFunctions::StateMachine."
lambdastatusupdater_AWS::Lambda::Function,invalid_AWS::DynamoDB::Table,latency,0.06210741,latency_p99,"['lambdastatusupdater_AWS::Lambda', 'lambdastatusupdater_AWS::Lambda::Function', 'invalid_AWS::DynamoDB::Table']",0_12,"The path of the issue is from lambdastatusupdater_AWS::Lambda, through lambdastatusupdater_AWS::Lambda::Function, to invalid_AWS::DynamoDB::Table.",2023-04-18 22:02,"On 2023-04-18 22:02, a latency issue with severity 0.06210741 was detected. Root Cause Node: invalid_AWS::DynamoDB::Table, Target Node: lambdastatusupdater_AWS::Lambda::Function, Affected Metric: latency_p99. Path: ['lambdastatusupdater_AWS::Lambda', 'lambdastatusupdater_AWS::Lambda::Function', 'invalid_AWS::DynamoDB::Table']","On 2023-04-18 22:02, a latency issue was detected. Severity: 0.06210741, Root Cause: invalid_AWS::DynamoDB::Table."
lambda_step_readDDB,DynamoDB_AWS::DynamoDB,latency,0.091220169,latency_p50,"['AWS::StepFunctions::StateMachine', 'lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB', 'DynamoDB_AWS::DynamoDB']",0_13,"The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_readDDB_AWS::Lambda to lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB, to DynamoDB_AWS::DynamoDB.",2023-04-18 22:02,"On 2023-04-18 22:02, a latency issue with severity 0.091220169 was detected. Root Cause Node: DynamoDB_AWS::DynamoDB, Target Node: lambda_step_readDDB, Affected Metric: latency_p50. Path: ['AWS::StepFunctions::StateMachine', 'lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB', 'DynamoDB_AWS::DynamoDB']","On 2023-04-18 22:02, a latency issue was detected. Severity: 0.091220169, Root Cause: DynamoDB_AWS::DynamoDB."
PetSite,AWS::StepFunctions::StateMachine,latency,0.096500346,latency_p99,"['PetSite', 'AWS::StepFunctions::StateMachine']",2_6,The path of the issue is from PetSite to AWS::StepFunctions::StateMachine.,2023-04-19 5:07,"On 2023-04-19 5:07, a latency issue with severity 0.096500346 was detected. Root Cause Node: AWS::StepFunctions::StateMachine, Target Node: PetSite, Affected Metric: latency_p99. Path: ['PetSite', 'AWS::StepFunctions::StateMachine']","On 2023-04-19 5:07, a latency issue was detected. Severity: 0.096500346, Root Cause: AWS::StepFunctions::StateMachine."
PetSearch_client,PetSearch_AWS::ECS::Fargate,latency,0.089257065,availability_Average,"['PetSearch_client', 'PetSearch_AWS::ECS::Fargate', '169.254.170.2_remote']",1_7,"The path of the issue is from PetSearch_client, through PetSearch_AWS::ECS::Fargate, to 169.254.170.2_remote.",2023-04-18 21:32,"On 2023-04-18 21:32, a latency issue with severity 0.089257065 was detected. Root Cause Node: PetSearch_AWS::ECS::Fargate, Target Node: PetSearch_client, Affected Metric: availability_Average. Path: ['PetSearch_client', 'PetSearch_AWS::ECS::Fargate', '169.254.170.2_remote']","On 2023-04-18 21:32, a latency issue was detected. Severity: 0.089257065, Root Cause: PetSearch_AWS::ECS::Fargate."
lambda_step_readDDB_AWS::Lambda,lambda_step_readDDB,latency,0.064120316,latency_Average,"['lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB', 'SSM_AWS::SSM']",1_6,"The path of the issue is from lambda_step_readDDB_AWS::Lambda, through lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB, to SSM_AWS::SSM.",2023-04-18 21:32,"On 2023-04-18 21:32, a latency issue with severity 0.064120316 was detected. Root Cause Node: lambda_step_readDDB, Target Node: lambda_step_readDDB_AWS::Lambda, Affected Metric: latency_Average. Path: ['lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB', 'SSM_AWS::SSM']","On 2023-04-18 21:32, a latency issue was detected. Severity: 0.064120316, Root Cause: lambda_step_readDDB."
AWS::StepFunctions::StateMachine,Evidently_AWS::Evidently,latency,0.060506775,latency_p99,"['AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda', 'lambda_step_priceGreaterThan55_AWS::Lambda::Function', 'lambda_step_priceGreaterThan55', 'Evidently_AWS::Evidently']",2_1,"The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_priceGreaterThan55_AWS::Lambda to lambda_step_priceGreaterThan55_AWS::Lambda::Function to lambda_step_priceGreaterThan55, to Evidently_AWS::Evidently.",2023-04-19 5:07,"On 2023-04-19 5:07, a latency issue with severity 0.060506775 was detected. Root Cause Node: Evidently_AWS::Evidently, Target Node: AWS::StepFunctions::StateMachine, Affected Metric: latency_p99. Path: ['AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda', 'lambda_step_priceGreaterThan55_AWS::Lambda::Function', 'lambda_step_priceGreaterThan55', 'Evidently_AWS::Evidently']","On 2023-04-19 5:07, a latency issue was detected. Severity: 0.060506775, Root Cause: Evidently_AWS::Evidently."
PetSite,AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement,latency,0.096312792,availability_Average,"['PetSite', 'PetSearch_AWS::ECS::Fargate', 'AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement']",1_0,"The path of the issue is from PetSite, through PetSearch_AWS::ECS::Fargate, to AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement.",2023-04-18 21:32,"On 2023-04-18 21:32, a latency issue with severity 0.096312792 was detected. Root Cause Node: AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement, Target Node: PetSite, Affected Metric: availability_Average. Path: ['PetSite', 'PetSearch_AWS::ECS::Fargate', 'AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement']","On 2023-04-18 21:32, a latency issue was detected. Severity: 0.096312792, Root Cause: AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement."
lambdastatusupdater_AWS::Lambda::Function,payforadoption_AWS::ECS::Container,latency,0.057861635,latency_p95,"['payforadoption_AWS::ECS::Container', 'PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage', 'lambdastatusupdater_AWS::Lambda', 'lambdastatusupdater_AWS::Lambda::Function']",1_14,"The path of the issue is from payforadoption_AWS::ECS::Container, through PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage to lambdastatusupdater_AWS::Lambda, to lambdastatusupdater_AWS::Lambda::Function.",2023-04-18 21:32,"On 2023-04-18 21:32, a latency issue with severity 0.057861635 was detected. Root Cause Node: payforadoption_AWS::ECS::Container, Target Node: lambdastatusupdater_AWS::Lambda::Function, Affected Metric: latency_p95. Path: ['payforadoption_AWS::ECS::Container', 'PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage', 'lambdastatusupdater_AWS::Lambda', 'lambdastatusupdater_AWS::Lambda::Function']","On 2023-04-18 21:32, a latency issue was detected. Severity: 0.057861635, Root Cause: payforadoption_AWS::ECS::Container."
PetSearch_client,PetSearch_AWS::ECS::Fargate,latency,0.1089457,availability_Average,"['PetSearch_client', 'PetSearch_AWS::ECS::Fargate']",2_30,The path of the issue is from PetSearch_client to PetSearch_AWS::ECS::Fargate.,2023-04-19 5:07,"On 2023-04-19 5:07, a latency issue with severity 0.1089457 was detected. Root Cause Node: PetSearch_AWS::ECS::Fargate, Target Node: PetSearch_client, Affected Metric: availability_Average. Path: ['PetSearch_client', 'PetSearch_AWS::ECS::Fargate']","On 2023-04-19 5:07, a latency issue was detected. Severity: 0.1089457, Root Cause: PetSearch_AWS::ECS::Fargate."
lambda_step_readDDB,lambda_step_readDDB_AWS::Lambda::Function,latency,0.063621655,latency_p50,"['lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB']",1_33,The path of the issue is from lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB.,2023-04-18 21:32,"On 2023-04-18 21:32, a latency issue with severity 0.063621655 was detected. Root Cause Node: lambda_step_readDDB_AWS::Lambda::Function, Target Node: lambda_step_readDDB, Affected Metric: latency_p50. Path: ['lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB']","On 2023-04-18 21:32, a latency issue was detected. Severity: 0.063621655, Root Cause: lambda_step_readDDB_AWS::Lambda::Function."
PetSite,SimpleSystemsManagement_AWS::SimpleSystemsManagement,latency,0.055479396,availability_Average,"['PetSite', 'SimpleSystemsManagement_AWS::SimpleSystemsManagement']",0_25,The path of the issue is from PetSite to SimpleSystemsManagement_AWS::SimpleSystemsManagement.,2023-04-18 22:02,"On 2023-04-18 22:02, a latency issue with severity 0.055479396 was detected. Root Cause Node: SimpleSystemsManagement_AWS::SimpleSystemsManagement, Target Node: PetSite, Affected Metric: availability_Average. Path: ['PetSite', 'SimpleSystemsManagement_AWS::SimpleSystemsManagement']","On 2023-04-18 22:02, a latency issue was detected. Severity: 0.055479396, Root Cause: SimpleSystemsManagement_AWS::SimpleSystemsManagement."
lambda_step_readDDB_AWS::Lambda::Function,lambda_step_readDDB,latency,0.051418269,availability_Average,"['PetSite', 'AWS::StepFunctions::StateMachine', 'lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB', 'DynamoDB_AWS::DynamoDB']",1_27,"The path of the issue is from PetSite, through AWS::StepFunctions::StateMachine to lambda_step_readDDB_AWS::Lambda to lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB, to DynamoDB_AWS::DynamoDB.",2023-04-18 21:32,"On 2023-04-18 21:32, a latency issue with severity 0.051418269 was detected. Root Cause Node: lambda_step_readDDB, Target Node: lambda_step_readDDB_AWS::Lambda::Function, Affected Metric: availability_Average. Path: ['PetSite', 'AWS::StepFunctions::StateMachine', 'lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB', 'DynamoDB_AWS::DynamoDB']","On 2023-04-18 21:32, a latency issue was detected. Severity: 0.051418269, Root Cause: lambda_step_readDDB."
Evidently_AWS::Evidently,StepFnStateMachine76D362E8-T67Tg48ke8oK_client,latency,0.050158454,latency_Average,"['StepFnStateMachine76D362E8-T67Tg48ke8oK_client', 'AWS::StepFunctions::StateMachine', 'lambda_step_priceLessThan55_AWS::Lambda', 'lambda_step_priceLessThan55_AWS::Lambda::Function', 'lambda_step_priceLessThan55', 'Evidently_AWS::Evidently']",0_43,"The path of the issue is from StepFnStateMachine76D362E8-T67Tg48ke8oK_client, through AWS::StepFunctions::StateMachine to lambda_step_priceLessThan55_AWS::Lambda to lambda_step_priceLessThan55_AWS::Lambda::Function to lambda_step_priceLessThan55, to Evidently_AWS::Evidently.",2023-04-18 22:02,"On 2023-04-18 22:02, a latency issue with severity 0.050158454 was detected. Root Cause Node: StepFnStateMachine76D362E8-T67Tg48ke8oK_client, Target Node: Evidently_AWS::Evidently, Affected Metric: latency_Average. Path: ['StepFnStateMachine76D362E8-T67Tg48ke8oK_client', 'AWS::StepFunctions::StateMachine', 'lambda_step_priceLessThan55_AWS::Lambda', 'lambda_step_priceLessThan55_AWS::Lambda::Function', 'lambda_step_priceLessThan55', 'Evidently_AWS::Evidently']","On 2023-04-18 22:02, a latency issue was detected. Severity: 0.050158454, Root Cause: StepFnStateMachine76D362E8-T67Tg48ke8oK_client."
petlistadoptions_client,petlistadoptions_AWS::ECS::Fargate,latency,0.041138177,latency_p99,"['petlistadoptions_client', 'petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', '169.254.170.2_remote']",2_37,"The path of the issue is from petlistadoptions_client, through petlistadoptions_AWS::ECS::Fargate to PetSearch_AWS::ECS::Fargate, to 169.254.170.2_remote.",2023-04-19 5:07,"On 2023-04-19 5:07, a latency issue with severity 0.041138177 was detected. Root Cause Node: petlistadoptions_AWS::ECS::Fargate, Target Node: petlistadoptions_client, Affected Metric: latency_p99. Path: ['petlistadoptions_client', 'petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', '169.254.170.2_remote']","On 2023-04-19 5:07, a latency issue was detected. Severity: 0.041138177, Root Cause: petlistadoptions_AWS::ECS::Fargate."
S3_AWS::S3,PetSearch_AWS::ECS::Fargate,latency,0.073718717,latency_p99,"['PetSearch_client', 'PetSearch_AWS::ECS::Fargate', 'S3_AWS::S3']",1_28,"The path of the issue is from PetSearch_client, through PetSearch_AWS::ECS::Fargate, to S3_AWS::S3.",2023-04-18 21:32,"On 2023-04-18 21:32, a latency issue with severity 0.073718717 was detected. Root Cause Node: PetSearch_AWS::ECS::Fargate, Target Node: S3_AWS::S3, Affected Metric: latency_p99. Path: ['PetSearch_client', 'PetSearch_AWS::ECS::Fargate', 'S3_AWS::S3']","On 2023-04-18 21:32, a latency issue was detected. Severity: 0.073718717, Root Cause: PetSearch_AWS::ECS::Fargate."
PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage,lambdastatusupdater_AWS::Lambda,latency,0.091943439,availability_Average,"['PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage', 'lambdastatusupdater_AWS::Lambda']",0_16,The path of the issue is from PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage to lambdastatusupdater_AWS::Lambda.,2023-04-18 22:02,"On 2023-04-18 22:02, a latency issue with severity 0.091943439 was detected. Root Cause Node: lambdastatusupdater_AWS::Lambda, Target Node: PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage, Affected Metric: availability_Average. Path: ['PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage', 'lambdastatusupdater_AWS::Lambda']","On 2023-04-18 22:02, a latency issue was detected. Severity: 0.091943439, Root Cause: lambdastatusupdater_AWS::Lambda."
169.254.170.2_remote,petlistadoptions_AWS::ECS::Fargate,latency,0.078711435,latency_p50,"['PetSite', 'petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', '169.254.170.2_remote']",2_49,"The path of the issue is from PetSite, through petlistadoptions_AWS::ECS::Fargate to PetSearch_AWS::ECS::Fargate, to 169.254.170.2_remote.",2023-04-19 5:07,"On 2023-04-19 5:07, a latency issue with severity 0.078711435 was detected. Root Cause Node: petlistadoptions_AWS::ECS::Fargate, Target Node: 169.254.170.2_remote, Affected Metric: latency_p50. Path: ['PetSite', 'petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', '169.254.170.2_remote']","On 2023-04-19 5:07, a latency issue was detected. Severity: 0.078711435, Root Cause: petlistadoptions_AWS::ECS::Fargate."
